DetID,MIPMPV_ADC,MIPWIDTH_ADC,MIP_SLOPE
0x18800a08,619.1336216083004,292.6791433848863,0.007751377485075464
0x18800a09,583.6078233287011,302.93391665862373,0.008085796756349448
0x18800a0a,613.1672179859434,318.9627991491917,0.007692639582578765
0x18800a0b,636.6676959706731,309.0520702054436,0.007505051103969025
0x18800b00,560.7069073209601,274.67832156286505,0.00850833979286013
0x18800b01,637.5302463160353,266.689336711809,0.007652136627545019
0x18800b02,670.5452965466866,326.7979426209321,0.007121002161999795
0x18800b03,655.376694183289,318.249674126876,0.007290351580180659
0x18800b04,588.7421114480239,329.88213983605004,0.007880357685282634
0x18800b05,552.8008802160322,290.25695696532256,0.008516310396992867
0x18800b06,523.9244138146346,318.50787704661917,0.008665713362176709
0x18800b07,601.6510060547799,289.1144270685505,0.007955394961641772
0x18800b08,608.9449599152125,297.34244857668574,0.007838772895209544
0x18800b09,551.7380661911775,272.75312667948833,0.00863275227170862
0x18800b0a,596.0808326128237,276.0904695679183,0.008076586717870841
0x18800b0b,603.5360232222987,356.0745926112705,0.007586062806557938
0x18800c00,602.5448835497257,329.85820640713797,0.00774219747861021
0x18800c01,576.2772742311383,309.9992397620354,0.008127091495005151
0x18800c02,562.025780564323,297.1913748596471,0.008364120904326573
0x18800c03,586.780288504677,310.55250308884627,0.008009779824924762
0x18800c04,594.7647057694305,319.5647310535109,0.0078765309038689
0x18800c05,656.006658534492,313.5280496040175,0.0073027580541718245
0x18800c06,597.8332365677593,309.1326439357981,0.007899483502394432
0x18800c07,500.1319595495052,287.9795526582165,0.009213558609893145
0x18800c08,622.9189916079038,329.6324515720969,0.00754531699545746
0x18800c09,628.7356195790871,347.02691260986205,0.007405604415087305
0x18800c0a,721.4744665075873,346.50590773450745,0.006634749287039392
0x18800c0b,588.6939713572501,382.79322409445496,0.007553192199947124
0x18800d00,583.2520838575992,310.3668281602752,0.008048888624321363
0x18800d01,643.2788811310733,322.214679207236,0.0073865805161968095
0x18800d02,625.6592416117822,334.8760603907185,0.007493890763420694
0x18800d03,788.9369621968373,364.4015550111686,0.006104801687838935
0x18800d04,681.214573068809,355.43993250098754,0.006919911657239443
0x18800d05,678.3510735849763,331.9089953866171,0.007034247978496192
0x18800d06,679.7316723462495,334.5296277660393,0.007012775612117761
0x18800d07,612.2236899874625,312.86543681774606,0.007731788004393163
0x18800d08,699.4065770414162,340.1842179015765,0.006829495599270463
0x18800d09,585.8901698617734,351.3776950686544,0.007779232977578822
0x18800d0a,209.89960027318384,206.3828906912479,0.01739251273148377
0x18800d0b,594.1604749012068,309.9568201325088,0.007934108069037252
0x18800e00,627.5824437010092,318.9824714252956,0.007550472609619635
0x18800e01,641.3824312162486,323.32734126192423,0.00739957620545433
0x18800e02,576.8738029275011,339.16047901041145,0.007944160890826953
0x18800e03,615.1820767111595,297.25987898173076,0.007773198328127543
0x18800e04,604.9078093940865,317.36242813763755,0.0077840084382109044
0x18800e05,581.8371466076987,344.2776623087092,0.00786271468909664
0x18800e06,615.1763713178514,316.52050435939856,0.007684402311382022
0x18800e07,603.5126803137774,322.7246227706673,0.0077704473054009664
0x18800e08,653.6960109493469,345.0334429895245,0.0071939691673611845
0x18800e09,543.7641272571893,323.4107314981516,0.008401352942988171
0x18800e0a,613.4576011065946,397.7730058533018,0.007255034277151678
0x18800e0b,697.1031858592328,386.85334745373893,0.006670783794964778
0x18800f00,503.97069430182967,275.62896512149865,0.009258579709873937
0x18800f01,600.7142974951059,378.2815731069173,0.007478578785320384
0x18800f02,609.0922789004352,352.21774945658126,0.007557011341446256
0x18800f03,635.0362575375062,404.64121169821766,0.007048192604843511
0x18800f04,734.8024848238801,347.0427435435487,0.006532138344693083
0x18800f05,673.1320750797473,342.1961100262862,0.007039300468434563
0x18800f06,626.830366146241,353.07552343357605,0.00739204021906179
0x18800f07,622.1624792023256,279.17303396689454,0.007773361614258554
0x18800f08,604.3934880281256,419.48113273496875,0.007189951612483924
0x18800f09,538.1981630771595,271.1281748288383,0.008819354010203565
0x18800f0a,607.6200445366924,268.98717627674876,0.007973896382330481
0x18800f0b,735.661819820977,442.69748888586264,0.0061895623617297165
0x18801000,574.487488901365,288.5321951043194,0.00826694808626429
0x18801001,545.2276035065875,259.7621400713556,0.008791049526312525
0x18801002,628.2636132393138,276.1328867620565,0.007719131119529872
0x18801003,562.0184225546897,241.00383137092433,0.008655488275761654
0x18801004,556.3488592883397,293.5825247952808,0.008453153888799097
0x18801005,575.0487268566236,249.44312538927164,0.00844750625116284
0x18801006,564.716798880331,232.85704880898095,0.008652252038614389
0x18801007,719.1185836610167,365.0625799556867,0.006590918403658538
0x18801008,725.1884959029111,414.481455090655,0.006366256918571649
0x18801009,599.3205990078394,479.1948655532034,0.006829012119114015
0x1880100a,751.855460185567,406.220644624221,0.006223166471413054
0x1880100b,623.7318404408574,274.04996533332815,0.007775548699138414
0x18801100,425.5386215565081,285.7256417566618,0.010335343444396699
0x18801101,554.8725785673879,242.3881119378401,0.008746960642749504
0x18801102,518.918869102828,273.5897987959532,0.009064566198871611
0x18801103,497.79180686221537,243.42185977765968,0.009586684787824111
0x18801104,678.094776924852,259.06498434982325,0.007256989714880127
0x18801105,659.510112348484,287.57388400103014,0.007360865174668371
0x18801106,588.13130516133,260.5862551410136,0.00823717874622698
0x18801107,558.7457218478596,253.40995759545655,0.008642744618142604
