# Source file /Users/cmantill/LDMX/ldmxsw/MarTB/ldmx-tb-online/near-offline/hcal/calibration_data/20220424/pedestal_DPM0_20220424_220632.raw
# Produced 2022-05-14 14:36:34 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18880704,   96.323,    1.638
0x18880705,  102.440,    1.458
0x18880706,   99.969,    1.763
0x18880707,  104.811,    1.676
0x18880800,  102.320,    1.668
0x18880801,  105.093,    1.735
0x18880802,  104.185,    1.623
0x18880803,   92.554,    1.748
0x18880804,  105.222,    1.600
0x18880805,  105.046,    1.597
0x18880806,   96.778,    1.803
0x18880807,   94.310,    1.263
0x18880900,   95.938,    3.179
0x18880901,   89.150,    3.249
0x18880902,  100.730,    3.177
0x18880903,  102.442,    2.238
0x18880904,  107.371,    2.012
0x18880905,  107.867,    2.558
0x18880906,   96.555,    3.134
0x18880907,  100.097,    3.352
0x18880a00,   90.796,    3.257
0x18880a01,  107.479,    3.055
0x18880a02,   92.407,    2.748
0x18880a03,   98.273,    3.743
0x18880a04,   98.219,    3.252
0x18880a05,   94.708,    2.857
0x18880a06,   94.909,    2.822
0x18880a07,  102.438,    2.952
0x18880a08,   92.683,    2.942
0x18880a09,   94.409,    2.335
0x18880a0a,   92.957,    2.582
0x18880a0b,   94.851,    2.371
0x18880b00,   95.058,    2.444
0x18880b01,  106.112,    1.730
0x18880b02,   95.218,    2.448
0x18880b03,  100.820,    1.941
0x18880b04,  104.778,    1.819
0x18880b05,  107.177,    2.001
0x18880b06,  105.978,    1.950
0x18880b07,  100.959,    2.346
0x18880b08,  101.501,    1.801
0x18880b09,  105.289,    1.801
0x18880b0a,   97.947,    2.144
0x18880b0b,   97.630,    2.393
0x18880c00,  102.992,    2.296
0x18880c01,   95.268,    2.059
0x18880c02,   92.360,    2.080
0x18880c03,   94.859,    1.645
0x18880c04,  108.471,    2.095
0x18880c05,   95.785,    2.022
0x18880c06,   93.768,    1.816
0x18880c07,  108.034,    2.149
0x18880c08,  109.952,    2.075
0x18880c09,   94.552,    1.757
0x18880c0a,  108.699,    2.139
0x18880c0b,   98.583,    2.399
0x18880d00,  103.608,    2.084
0x18880d01,   96.644,    2.251
0x18880d02,  104.214,    2.019
0x18880d03,  101.225,    2.043
0x18880d04,  100.785,    2.321
0x18880d05,   96.818,    2.078
0x18880d06,   89.276,    2.130
0x18880d07,   92.877,    1.946
0x18880d08,  108.799,    2.049
0x18880d09,   98.494,    2.154
0x18880d0a,   95.156,    1.893
0x18880d0b,   97.865,    2.296
0x18880e00,   94.297,    1.728
0x18880e01,  101.508,    2.174
0x18880e02,  101.752,    2.035
0x18880e03,  102.859,    2.180
0x18880e04,  106.915,    1.562
0x18880e05,  103.168,    1.535
0x18880e06,   90.926,    1.579
0x18880e07,   94.940,    1.251
0x18880e08,  107.670,    1.670
0x18880e09,  105.624,    1.768
0x18880e0a,   92.674,    1.509
0x18880e0b,   98.718,    4.323
0x18880f00,  105.480,    1.834
0x18880f01,   92.245,    1.608
0x18880f02,  100.824,    1.887
0x18880f03,  105.371,    1.873
0x18880f04,   96.358,    1.579
0x18880f05,   95.955,    1.438
0x18880f06,   99.443,    2.049
0x18880f07,   94.880,    1.321
0x18880f08,   95.590,    1.343
0x18880f09,   99.031,    1.656
0x18880f0a,   97.952,    1.762
0x18880f0b,   93.081,    1.375
0x18881000,  106.020,    1.512
0x18881001,   92.794,    2.178
0x18881002,   98.424,    2.310
0x18881003,  103.295,    1.394
0x18881004,   95.849,    1.442
0x18881005,   92.331,    1.479
0x18881006,   89.978,    1.346
0x18881007,   94.861,    1.058
0x18881008,   96.287,    1.982
0x18881009,  101.773,    1.500
0x1888100a,  100.782,    1.595
0x1888100b,  103.412,    1.608
0x18881100,  106.457,    1.480
0x18881101,  108.442,    1.595
0x18881102,   91.896,    1.590
0x18881103,   94.578,    1.122
0x18881104,   99.505,    1.567
0x18881105,  106.134,    1.428
0x18881106,   99.901,    1.721
0x18881107,  101.062,    1.667
0x18881108,   95.653,    1.528
0x18881109,  101.010,    1.596
0x1888110a,  106.939,    1.291
0x1888110b,   95.592,    1.455
0x18881200,  104.241,    1.349
0x18881201,  102.513,    1.353
0x18881202,   98.173,    1.824
0x18881203,   93.802,    1.060
0x18881204,   94.338,    1.023
0x18881205,   95.287,    1.286
0x18881206,   99.407,    1.589
0x18881207,  102.260,    1.368
0x18881208,   99.816,    1.761
0x18881209,   91.091,    1.483
0x1888120a,   95.890,    1.506
0x1888120b,  100.645,    1.492
0x18881300,  102.152,    2.191
0x18881301,   94.670,    2.694
0x18881302,   94.123,    3.483
0x18881303,   91.989,    5.201
0x18881304,  105.187,    2.464
0x18881305,  106.143,    7.303
0x18881306,  103.274,    3.494
0x18881307,   98.745,    2.924
0x18881308,  102.063,    1.330
0x18881309,  104.336,    3.528
0x1888130a,  107.415,    2.618
0x1888130b,   94.633,    3.717
